composition,M.m.a/M.m.b,M.m.a-M.m.b,M.m.a*M.m.b,M.m.a+M.m.b,"sqrt(M.m.a,M.m.b)",M.p.a/M.p.b,M.p.a-M.p.b,M.p.a*M.p.b,M.p.a+M.p.b,"sqrt(M.p.a,M.p.b)",M.r.a/M.r.b,M.r.a-M.r.b,M.r.a*M.r.b,M.r.a+M.r.b,"sqrt(M.r.a,M.r.b)",M.x.a/M.x.b,M.x.a-M.x.b,M.x.a*M.x.b,M.x.a+M.x.b,"sqrt(M.x.a,M.x.b)",M.v.a/M.v.b,M.v.a-M.v.b,M.v.a*M.v.b,M.v.a+M.v.b,"sqrt(M.v.a,M.v.b)",M.e.a/M.e.b,M.e.a-M.e.b,M.e.a*M.e.b,M.e.a+M.e.b,"sqrt(M.e.a,M.e.b)",S.m.a/S.m.b,S.m.a-S.m.b,S.m.a*S.m.b,S.m.a+S.m.b,"sqrt(S.m.a,S.m.b)",S.p.a/S.p.b,S.p.a-S.p.b,S.p.a*S.p.b,S.p.a+S.p.b,"sqrt(S.p.a,S.p.b)",S.r.a/S.r.b,S.r.a-S.r.b,S.r.a*S.r.b,S.r.a+S.r.b,"sqrt(S.r.a,S.r.b)",S.x.a/S.x.b,S.x.a-S.x.b,S.x.a*S.x.b,S.x.a+S.x.b,"sqrt(S.x.a,S.x.b)",S.v.a/S.v.b,S.v.a-S.v.b,S.v.a*S.v.b,S.v.a+S.v.b,"sqrt(S.v.a,S.v.b)",S.e.a/S.e.b,S.e.a-S.e.b,S.e.a*S.e.b,S.e.a+S.e.b,"sqrt(S.e.a,S.e.b)",M.m.a,M.p.a,M.r.a,M.x.a,M.v.a,M.e.a,S.m.a,S.p.a,S.r.a,S.x.a,S.v.a,S.e.a,M.m.b,M.p.b,M.r.b,M.x.b,M.v.b,M.e.b,S.m.b,S.p.b,S.r.b,S.x.b,S.v.b,S.e.b
La2(Hf1/2Zr1/2)2O7,1.0300204661233752,4.048470000000009,18732.37496779,273.76247,193.60046499148945,0.6270622740222869,6.127032005,169.25376343694958,26.731172345,19.39195833494373,1.3892215568862276,0.325,0.9686,1.995,1.4292742913800691,0.8365019011406846,0.21499999999999986,1.4465,2.415,1.7144168104635464,0.7268722466960352,930.0,8427375.0,5880.0,4209.471463259966,0.5068493150684932,36.0,2701.0,110.0,81.8413098624405,0.0,43.63300000000001,0.0,43.63300000000001,43.63300000000001,0.0,5.624212255,0.0,5.624212255,5.624212255,0.0,0.0050000000000000044,0.0,0.0050000000000000044,0.0050000000000000044,0.0,0.015000000000000013,0.0,0.015000000000000013,0.015000000000000013,0.0,395.0,0.0,395.0,395.0,0.0,5.0,0.0,5.0,5.0,138.90547,10.30207017,1.16,1.1,2475.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,134.857,16.429102175,0.835,1.315,3405.0,73.0,43.63300000000001,5.624212255,0.0050000000000000044,0.015000000000000013,395.0,5.0
La2(Hf1/2Zr1/2)2O7,1.0300204661233752,4.048470000000009,18732.37496779,273.76247,193.60046499148945,0.6270622740222869,6.127032005,169.25376343694958,26.731172345,19.39195833494373,1.3892215568862276,0.325,0.9686,1.995,1.4292742913800691,0.8365019011406846,0.21499999999999986,1.4465,2.415,1.7144168104635464,0.7268722466960352,930.0,8427375.0,5880.0,4209.471463259966,0.5068493150684932,36.0,2701.0,110.0,81.8413098624405,0.0,43.63300000000001,0.0,43.63300000000001,43.63300000000001,0.0,5.624212255,0.0,5.624212255,5.624212255,0.0,0.0050000000000000044,0.0,0.0050000000000000044,0.0050000000000000044,0.0,0.015000000000000013,0.0,0.015000000000000013,0.015000000000000013,0.0,395.0,0.0,395.0,395.0,0.0,5.0,0.0,5.0,5.0,138.90547,10.30207017,1.16,1.1,2475.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,134.857,16.429102175,0.835,1.315,3405.0,73.0,43.63300000000001,5.624212255,0.0050000000000000044,0.015000000000000013,395.0,5.0
La2(Hf1/2Zr1/2)2O7,1.0300204661233752,4.048470000000009,18732.37496779,273.76247,193.60046499148945,0.6270622740222869,6.127032005,169.25376343694958,26.731172345,19.39195833494373,1.3892215568862276,0.325,0.9686,1.995,1.4292742913800691,0.8365019011406846,0.21499999999999986,1.4465,2.415,1.7144168104635464,0.7268722466960352,930.0,8427375.0,5880.0,4209.471463259966,0.5068493150684932,36.0,2701.0,110.0,81.8413098624405,0.0,43.63300000000001,0.0,43.63300000000001,43.63300000000001,0.0,5.624212255,0.0,5.624212255,5.624212255,0.0,0.0050000000000000044,0.0,0.0050000000000000044,0.0050000000000000044,0.0,0.015000000000000013,0.0,0.015000000000000013,0.015000000000000013,0.0,395.0,0.0,395.0,395.0,0.0,5.0,0.0,5.0,5.0,138.90547,10.30207017,1.16,1.1,2475.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,134.857,16.429102175,0.835,1.315,3405.0,73.0,43.63300000000001,5.624212255,0.0050000000000000044,0.015000000000000013,395.0,5.0
Sm2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,1.3785294677176474,41.287250000000014,16400.17869,259.43275,185.75520017636788,0.9534042868545816,0.6107520657500007,163.80043980665712,25.604194525750003,18.110049632707586,1.3967637540453075,0.3065,0.8335275,1.8515,1.3270257156513583,0.7634584013050569,0.3625,1.793025,2.7025,1.9280706029603791,0.6334572490706321,1232.5,7162125.0,5492.5,3980.365090038852,0.6410256410256411,28.0,3900.0,128.0,92.64987857520376,0.0,47.37180832190703,0.0,47.37180832190703,47.37180832190703,0.0,5.434090940460118,0.0,5.434090940460118,5.434090940460118,0.0,0.09443913383762052,0.0,0.09443913383762052,0.09443913383762052,0.0,0.2635692508620837,0.0,0.2635692508620837,0.2635692508620837,0.0,644.995155020563,0.0,644.995155020563,644.995155020563,0.0,24.12467616362964,0.0,24.12467616362964,24.12467616362964,150.36,12.49672123,1.079,1.17,2130.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,109.07275,13.107473295750001,0.7725,1.5325,3362.5,78.0,47.37180832190703,5.434090940460118,0.09443913383762052,0.2635692508620837,644.995155020563,24.12467616362964
Sm2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,1.3785294677176474,41.287250000000014,16400.17869,259.43275,185.75520017636788,0.9534042868545816,0.6107520657500007,163.80043980665712,25.604194525750003,18.110049632707586,1.3967637540453075,0.3065,0.8335275,1.8515,1.3270257156513583,0.7634584013050569,0.3625,1.793025,2.7025,1.9280706029603791,0.6334572490706321,1232.5,7162125.0,5492.5,3980.365090038852,0.6410256410256411,28.0,3900.0,128.0,92.64987857520376,0.0,47.37180832190703,0.0,47.37180832190703,47.37180832190703,0.0,5.434090940460118,0.0,5.434090940460118,5.434090940460118,0.0,0.09443913383762052,0.0,0.09443913383762052,0.09443913383762052,0.0,0.2635692508620837,0.0,0.2635692508620837,0.2635692508620837,0.0,644.995155020563,0.0,644.995155020563,644.995155020563,0.0,24.12467616362964,0.0,24.12467616362964,24.12467616362964,150.36,12.49672123,1.079,1.17,2130.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,109.07275,13.107473295750001,0.7725,1.5325,3362.5,78.0,47.37180832190703,5.434090940460118,0.09443913383762052,0.2635692508620837,644.995155020563,24.12467616362964
Sm2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,1.3785294677176474,41.287250000000014,16400.17869,259.43275,185.75520017636788,0.9534042868545816,0.6107520657500007,163.80043980665712,25.604194525750003,18.110049632707586,1.3967637540453075,0.3065,0.8335275,1.8515,1.3270257156513583,0.7634584013050569,0.3625,1.793025,2.7025,1.9280706029603791,0.6334572490706321,1232.5,7162125.0,5492.5,3980.365090038852,0.6410256410256411,28.0,3900.0,128.0,92.64987857520376,0.0,47.37180832190703,0.0,47.37180832190703,47.37180832190703,0.0,5.434090940460118,0.0,5.434090940460118,5.434090940460118,0.0,0.09443913383762052,0.0,0.09443913383762052,0.09443913383762052,0.0,0.2635692508620837,0.0,0.2635692508620837,0.2635692508620837,0.0,644.995155020563,0.0,644.995155020563,644.995155020563,0.0,24.12467616362964,0.0,24.12467616362964,24.12467616362964,150.36,12.49672123,1.079,1.17,2130.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,109.07275,13.107473295750001,0.7725,1.5325,3362.5,78.0,47.37180832190703,5.434090940460118,0.09443913383762052,0.2635692508620837,644.995155020563,24.12467616362964
Gd2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,1.4416983160321897,48.17725,17151.6899375,266.32275,191.37509580027,1.0011008845049243,0.014429814249998785,171.9949946037439,26.229376405750003,18.546972729451753,1.3631067961165049,0.2805,0.8134425000000001,1.8255,1.3059729131953697,0.7830342577487764,0.3325,1.839,2.7325,1.9464213957928016,0.7970260223048327,682.5,9011500.0,6042.5,4299.861189619963,0.7051282051282052,23.0,4290.0,133.0,95.44108130150244,0.0,47.37180832190703,0.0,47.37180832190703,47.37180832190703,0.0,5.434090940460118,0.0,5.434090940460118,5.434090940460118,0.0,0.09443913383762052,0.0,0.09443913383762052,0.09443913383762052,0.0,0.2635692508620837,0.0,0.2635692508620837,0.2635692508620837,0.0,644.995155020563,0.0,644.995155020563,644.995155020563,0.0,24.12467616362964,0.0,24.12467616362964,24.12467616362964,157.25,13.12190311,1.053,1.2,2680.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,109.07275,13.107473295750001,0.7725,1.5325,3362.5,78.0,47.37180832190703,5.434090940460118,0.09443913383762052,0.2635692508620837,644.995155020563,24.12467616362964
Gd2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,1.4416983160321897,48.17725,17151.6899375,266.32275,191.37509580027,1.0011008845049243,0.014429814249998785,171.9949946037439,26.229376405750003,18.546972729451753,1.3631067961165049,0.2805,0.8134425000000001,1.8255,1.3059729131953697,0.7830342577487764,0.3325,1.839,2.7325,1.9464213957928016,0.7970260223048327,682.5,9011500.0,6042.5,4299.861189619963,0.7051282051282052,23.0,4290.0,133.0,95.44108130150244,0.0,47.37180832190703,0.0,47.37180832190703,47.37180832190703,0.0,5.434090940460118,0.0,5.434090940460118,5.434090940460118,0.0,0.09443913383762052,0.0,0.09443913383762052,0.09443913383762052,0.0,0.2635692508620837,0.0,0.2635692508620837,0.2635692508620837,0.0,644.995155020563,0.0,644.995155020563,644.995155020563,0.0,24.12467616362964,0.0,24.12467616362964,24.12467616362964,157.25,13.12190311,1.053,1.2,2680.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,109.07275,13.107473295750001,0.7725,1.5325,3362.5,78.0,47.37180832190703,5.434090940460118,0.09443913383762052,0.2635692508620837,644.995155020563,24.12467616362964
Gd2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,1.4416983160321897,48.17725,17151.6899375,266.32275,191.37509580027,1.0011008845049243,0.014429814249998785,171.9949946037439,26.229376405750003,18.546972729451753,1.3631067961165049,0.2805,0.8134425000000001,1.8255,1.3059729131953697,0.7830342577487764,0.3325,1.839,2.7325,1.9464213957928016,0.7970260223048327,682.5,9011500.0,6042.5,4299.861189619963,0.7051282051282052,23.0,4290.0,133.0,95.44108130150244,0.0,47.37180832190703,0.0,47.37180832190703,47.37180832190703,0.0,5.434090940460118,0.0,5.434090940460118,5.434090940460118,0.0,0.09443913383762052,0.0,0.09443913383762052,0.09443913383762052,0.0,0.2635692508620837,0.0,0.2635692508620837,0.2635692508620837,0.0,644.995155020563,0.0,644.995155020563,644.995155020563,0.0,24.12467616362964,0.0,24.12467616362964,24.12467616362964,157.25,13.12190311,1.053,1.2,2680.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,109.07275,13.107473295750001,0.7725,1.5325,3362.5,78.0,47.37180832190703,5.434090940460118,0.09443913383762052,0.2635692508620837,644.995155020563,24.12467616362964
(Sm1/2Gd1/2)2(Ti1/3Hf1/3Zr1/3)2O7,1.4529049281915485,47.94466666666669,16281.848568333333,259.6653333333333,186.71472410724454,0.9528664245326808,0.6336131343333289,172.1946267011979,26.25223747433333,18.56854111141733,1.4026315789473685,0.30599999999999994,0.8101599999999998,1.8259999999999998,1.3091814236384502,0.8525179856115109,0.20499999999999985,1.64715,2.575,1.8265609762611263,0.6589041095890411,1245.0,8778250.0,6055.0,4371.101119855271,0.6011450381679391,34.833333333333314,4584.999999999999,139.83333333333331,101.89877875181385,0.06341857188542098,50.87662689226293,187.13800464384545,57.76662689226293,54.43075576567188,0.05010451663249213,5.926186739321799,1.9501853792302184,6.551368619321799,6.246603879531179,0.12247448713915905,0.09314455552060437,0.0013798792217678585,0.1191445555206044,0.10693767655352657,0.14048787173725422,0.0917707825203131,0.001601561737804698,0.12177078252031312,0.10781929326423913,0.5809571046072446,198.3568069296845,130173.12190566324,748.3568069296846,547.4410166097043,0.12090485254109268,18.177416559027765,51.69354139756941,23.177416559027765,20.827999317158522,153.805,12.80931217,1.0659999999999998,1.185,2405.0,52.5,3.4449999999999936,0.31259093999999976,0.013000000000000013,0.015000000000000013,275.0,2.5,105.86033333333332,13.44292530433333,0.7599999999999999,1.39,3650.0,87.33333333333331,54.32162689226293,6.2387776793218,0.10614455552060438,0.1067707825203131,473.3568069296845,20.677416559027765
