composition,M.m.ca/M.m.ai,M.m.ca-M.m.ai,M.m.ca*M.m.ai,M.m.ca+M.m.ai,"sqrt(M.m.ca,M.m.ai)",M.p.ca/M.p.ai,M.p.ca-M.p.ai,M.p.ca*M.p.ai,M.p.ca+M.p.ai,"sqrt(M.p.ca,M.p.ai)",M.r.ca/M.r.ai,M.r.ca-M.r.ai,M.r.ca*M.r.ai,M.r.ca+M.r.ai,"sqrt(M.r.ca,M.r.ai)",M.x.ca/M.x.ai,M.x.ca-M.x.ai,M.x.ca*M.x.ai,M.x.ca+M.x.ai,"sqrt(M.x.ca,M.x.ai)",M.v.ca/M.v.ai,M.v.ca-M.v.ai,M.v.ca*M.v.ai,M.v.ca+M.v.ai,"sqrt(M.v.ca,M.v.ai)",M.e.ca/M.e.ai,M.e.ca-M.e.ai,M.e.ca*M.e.ai,M.e.ca+M.e.ai,"sqrt(M.e.ca,M.e.ai)",S.m.ca/S.m.ai,S.m.ca-S.m.ai,S.m.ca*S.m.ai,S.m.ca+S.m.ai,"sqrt(S.m.ca,S.m.ai)",S.p.ca/S.p.ai,S.p.ca-S.p.ai,S.p.ca*S.p.ai,S.p.ca+S.p.ai,"sqrt(S.p.ca,S.p.ai)",S.r.ca/S.r.ai,S.r.ca-S.r.ai,S.r.ca*S.r.ai,S.r.ca+S.r.ai,"sqrt(S.r.ca,S.r.ai)",S.x.ca/S.x.ai,S.x.ca-S.x.ai,S.x.ca*S.x.ai,S.x.ca+S.x.ai,"sqrt(S.x.ca,S.x.ai)",S.v.ca/S.v.ai,S.v.ca-S.v.ai,S.v.ca*S.v.ai,S.v.ca+S.v.ai,"sqrt(S.v.ca,S.v.ai)",S.e.ca/S.e.ai,S.e.ca-S.e.ai,S.e.ca*S.e.ai,S.e.ca+S.e.ai,"sqrt(S.e.ca,S.e.ai)",M.m.ai,M.p.ai,M.r.ai,M.x.ai,M.v.ai,M.e.ai,S.m.ai,S.p.ai,S.r.ai,S.x.ai,S.v.ai,S.e.ai,M.m.ca,M.p.ca,M.r.ca,M.x.ca,M.v.ca,M.e.ca,S.m.ca,S.p.ca,S.r.ca,S.x.ca,S.v.ca,S.e.ca
La2(Hf1/2Zr1/2)2O7,8.55539801492556,120.88183500000001,2190.017631259,152.880635,137.8131100276212,8.733227749200196,11.8351570395,20.45508245801597,14.896015305499999,13.45292187837491,0.7024647887323945,0.4224999999999999,1.41645,2.4175,1.7353403844779272,0.35101744186046513,2.2325,4.1538,4.6475,3.6457723804428603,9.259842519685039,2622.5,933450.0,3257.5,2957.0942240652394,1.0377358490566038,2.0,2915.0,108.0,76.38062581571323,0.0,35.677276229931955,0.0,35.677276229931955,35.677276229931955,0.0,5.4249590199818485,0.0,5.4249590199818485,5.4249590199818485,0.0,0.15326085243430196,0.0,0.15326085243430196,0.15326085243430196,0.0,0.10208928554075702,0.0,0.10208928554075702,0.10208928554075702,0.0,544.257904551387,0.0,544.257904551387,544.257904551387,0.0,17.45470328211473,0.0,17.45470328211473,17.45470328211473,15.9994,1.5304291330000002,1.42,3.44,317.5,53.0,0.0,0.0,0.0,0.0,0.0,0.0,136.881235,13.3655861725,0.9975,1.2075,2940.0,55.0,35.677276229931955,5.4249590199818485,0.15326085243430196,0.10208928554075702,544.257904551387,17.45470328211473
La2(Hf1/2Zr1/2)2O7,8.55539801492556,120.88183500000001,2190.017631259,152.880635,137.8131100276212,8.733227749200196,11.8351570395,20.45508245801597,14.896015305499999,13.45292187837491,0.7024647887323945,0.4224999999999999,1.41645,2.4175,1.7353403844779272,0.35101744186046513,2.2325,4.1538,4.6475,3.6457723804428603,9.259842519685039,2622.5,933450.0,3257.5,2957.0942240652394,1.0377358490566038,2.0,2915.0,108.0,76.38062581571323,0.0,35.677276229931955,0.0,35.677276229931955,35.677276229931955,0.0,5.4249590199818485,0.0,5.4249590199818485,5.4249590199818485,0.0,0.15326085243430196,0.0,0.15326085243430196,0.15326085243430196,0.0,0.10208928554075702,0.0,0.10208928554075702,0.10208928554075702,0.0,544.257904551387,0.0,544.257904551387,544.257904551387,0.0,17.45470328211473,0.0,17.45470328211473,17.45470328211473,15.9994,1.5304291330000002,1.42,3.44,317.5,53.0,0.0,0.0,0.0,0.0,0.0,0.0,136.881235,13.3655861725,0.9975,1.2075,2940.0,55.0,35.677276229931955,5.4249590199818485,0.15326085243430196,0.10208928554075702,544.257904551387,17.45470328211473
La2(Hf1/2Zr1/2)2O7,8.55539801492556,120.88183500000001,2190.017631259,152.880635,137.8131100276212,8.733227749200196,11.8351570395,20.45508245801597,14.896015305499999,13.45292187837491,0.7024647887323945,0.4224999999999999,1.41645,2.4175,1.7353403844779272,0.35101744186046513,2.2325,4.1538,4.6475,3.6457723804428603,9.259842519685039,2622.5,933450.0,3257.5,2957.0942240652394,1.0377358490566038,2.0,2915.0,108.0,76.38062581571323,0.0,35.677276229931955,0.0,35.677276229931955,35.677276229931955,0.0,5.4249590199818485,0.0,5.4249590199818485,5.4249590199818485,0.0,0.15326085243430196,0.0,0.15326085243430196,0.15326085243430196,0.0,0.10208928554075702,0.0,0.10208928554075702,0.10208928554075702,0.0,544.257904551387,0.0,544.257904551387,544.257904551387,0.0,17.45470328211473,0.0,17.45470328211473,17.45470328211473,15.9994,1.5304291330000002,1.42,3.44,317.5,53.0,0.0,0.0,0.0,0.0,0.0,0.0,136.881235,13.3655861725,0.9975,1.2075,2940.0,55.0,35.677276229931955,5.4249590199818485,0.15326085243430196,0.10208928554075702,544.257904551387,17.45470328211473
Sm2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,8.107577471655187,113.716975,2075.384170175,145.715775,130.69934484725096,8.365037613848793,11.271668129875,19.59270261460346,14.332526395875002,12.893250469111607,0.6519366197183099,0.49425,1.314565,2.34575,1.695114468848638,0.3928052325581395,2.08875,4.6483,4.79125,3.6958729094085463,8.649606299212598,2428.75,871934.375,3063.75,2764.5425141422584,1.2075471698113207,11.0,3392.0,117.0,83.0963296421689,0.0,45.475405451298634,0.0,45.475405451298634,45.475405451298634,0.0,4.866534534253655,0.0,4.866534534253655,4.866534534253655,0.0,0.1488816980021386,0.0,0.1488816980021386,0.1488816980021386,0.0,0.2767670500619609,0.0,0.2767670500619609,0.2767670500619609,0.0,758.8570352839854,0.0,758.8570352839854,758.8570352839854,0.0,24.31131423843639,0.0,24.31131423843639,24.31131423843639,15.9994,1.5304291330000002,1.42,3.44,317.5,53.0,0.0,0.0,0.0,0.0,0.0,0.0,129.716375,12.802097262875,0.92575,1.35125,2746.25,64.0,45.475405451298634,4.866534534253655,0.1488816980021386,0.2767670500619609,758.8570352839854,24.31131423843639
Sm2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,8.107577471655187,113.716975,2075.384170175,145.715775,130.69934484725096,8.365037613848793,11.271668129875,19.59270261460346,14.332526395875002,12.893250469111607,0.6519366197183099,0.49425,1.314565,2.34575,1.695114468848638,0.3928052325581395,2.08875,4.6483,4.79125,3.6958729094085463,8.649606299212598,2428.75,871934.375,3063.75,2764.5425141422584,1.2075471698113207,11.0,3392.0,117.0,83.0963296421689,0.0,45.475405451298634,0.0,45.475405451298634,45.475405451298634,0.0,4.866534534253655,0.0,4.866534534253655,4.866534534253655,0.0,0.1488816980021386,0.0,0.1488816980021386,0.1488816980021386,0.0,0.2767670500619609,0.0,0.2767670500619609,0.2767670500619609,0.0,758.8570352839854,0.0,758.8570352839854,758.8570352839854,0.0,24.31131423843639,0.0,24.31131423843639,24.31131423843639,15.9994,1.5304291330000002,1.42,3.44,317.5,53.0,0.0,0.0,0.0,0.0,0.0,0.0,129.716375,12.802097262875,0.92575,1.35125,2746.25,64.0,45.475405451298634,4.866534534253655,0.1488816980021386,0.2767670500619609,758.8570352839854,24.31131423843639
Sm2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,8.107577471655187,113.716975,2075.384170175,145.715775,130.69934484725096,8.365037613848793,11.271668129875,19.59270261460346,14.332526395875002,12.893250469111607,0.6519366197183099,0.49425,1.314565,2.34575,1.695114468848638,0.3928052325581395,2.08875,4.6483,4.79125,3.6958729094085463,8.649606299212598,2428.75,871934.375,3063.75,2764.5425141422584,1.2075471698113207,11.0,3392.0,117.0,83.0963296421689,0.0,45.475405451298634,0.0,45.475405451298634,45.475405451298634,0.0,4.866534534253655,0.0,4.866534534253655,4.866534534253655,0.0,0.1488816980021386,0.0,0.1488816980021386,0.1488816980021386,0.0,0.2767670500619609,0.0,0.2767670500619609,0.2767670500619609,0.0,758.8570352839854,0.0,758.8570352839854,758.8570352839854,0.0,24.31131423843639,0.0,24.31131423843639,24.31131423843639,15.9994,1.5304291330000002,1.42,3.44,317.5,53.0,0.0,0.0,0.0,0.0,0.0,0.0,129.716375,12.802097262875,0.92575,1.35125,2746.25,64.0,45.475405451298634,4.866534534253655,0.1488816980021386,0.2767670500619609,758.8570352839854,24.31131423843639
Gd2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,8.322898046176732,117.161975,2130.502103175,149.160775,134.11909853652693,8.569288129772552,11.584259069875,20.07110089589132,14.645117335875002,13.203683576554074,0.6427816901408451,0.50725,1.2961049999999998,2.33275,1.6880499289120567,0.39716569767441867,2.0737499999999995,4.6999,4.80625,3.7013833984741433,9.515748031496065,2703.75,959246.875,3338.75,3037.887063815901,1.2547169811320755,13.5,3524.5,119.5,85.03675675847474,0.0,46.54716066270853,0.0,46.54716066270853,46.54716066270853,0.0,4.8604021227136,0.0,4.8604021227136,4.8604021227136,0.0,0.1404415892818078,0.0,0.1404415892818078,0.1404415892818078,0.0,0.2706732347314747,0.0,0.2706732347314747,0.2706732347314747,0.0,638.2350664136218,0.0,638.2350664136218,638.2350664136218,0.0,23.4571950582332,0.0,23.4571950582332,23.4571950582332,15.9994,1.5304291330000002,1.42,3.44,317.5,53.0,0.0,0.0,0.0,0.0,0.0,0.0,133.161375,13.114688202875,0.91275,1.3662500000000002,3021.25,66.5,46.54716066270853,4.8604021227136,0.1404415892818078,0.2706732347314747,638.2350664136218,23.4571950582332
Gd2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,8.322898046176732,117.161975,2130.502103175,149.160775,134.11909853652693,8.569288129772552,11.584259069875,20.07110089589132,14.645117335875002,13.203683576554074,0.6427816901408451,0.50725,1.2961049999999998,2.33275,1.6880499289120567,0.39716569767441867,2.0737499999999995,4.6999,4.80625,3.7013833984741433,9.515748031496065,2703.75,959246.875,3338.75,3037.887063815901,1.2547169811320755,13.5,3524.5,119.5,85.03675675847474,0.0,46.54716066270853,0.0,46.54716066270853,46.54716066270853,0.0,4.8604021227136,0.0,4.8604021227136,4.8604021227136,0.0,0.1404415892818078,0.0,0.1404415892818078,0.1404415892818078,0.0,0.2706732347314747,0.0,0.2706732347314747,0.2706732347314747,0.0,638.2350664136218,0.0,638.2350664136218,638.2350664136218,0.0,23.4571950582332,0.0,23.4571950582332,23.4571950582332,15.9994,1.5304291330000002,1.42,3.44,317.5,53.0,0.0,0.0,0.0,0.0,0.0,0.0,133.161375,13.114688202875,0.91275,1.3662500000000002,3021.25,66.5,46.54716066270853,4.8604021227136,0.1404415892818078,0.2706732347314747,638.2350664136218,23.4571950582332
Gd2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,8.322898046176732,117.161975,2130.502103175,149.160775,134.11909853652693,8.569288129772552,11.584259069875,20.07110089589132,14.645117335875002,13.203683576554074,0.6427816901408451,0.50725,1.2961049999999998,2.33275,1.6880499289120567,0.39716569767441867,2.0737499999999995,4.6999,4.80625,3.7013833984741433,9.515748031496065,2703.75,959246.875,3338.75,3037.887063815901,1.2547169811320755,13.5,3524.5,119.5,85.03675675847474,0.0,46.54716066270853,0.0,46.54716066270853,46.54716066270853,0.0,4.8604021227136,0.0,4.8604021227136,4.8604021227136,0.0,0.1404415892818078,0.0,0.1404415892818078,0.1404415892818078,0.0,0.2706732347314747,0.0,0.2706732347314747,0.2706732347314747,0.0,638.2350664136218,0.0,638.2350664136218,638.2350664136218,0.0,23.4571950582332,0.0,23.4571950582332,23.4571950582332,15.9994,1.5304291330000002,1.42,3.44,317.5,53.0,0.0,0.0,0.0,0.0,0.0,0.0,133.161375,13.114688202875,0.91275,1.3662500000000002,3021.25,66.5,46.54716066270853,4.8604021227136,0.1404415892818078,0.2706732347314747,638.2350664136218,23.4571950582332
(Sm1/2Gd1/2)2(Ti1/3Hf1/3Zr1/3)2O7,8.11484597339067,113.83326666666667,2077.244767066667,145.8320666666667,130.81476267660994,8.57675697236395,11.595689604166667,20.08859451857704,14.65654787016667,13.215037133255926,0.6429577464788733,0.507,1.2964599999999995,2.333,1.6881851201808409,0.3742732558139536,2.1525,4.4289999999999985,4.7275,3.673044547783215,9.535433070866144,2710.0000000000005,961231.25,3345.0000000000005,3044.1029056193224,1.319182389937107,16.91666666666667,3705.583333333334,122.91666666666669,87.73448739109257,0.0,48.23833075221406,0.0,48.23833075221406,48.23833075221406,0.0,4.846529185145831,0.0,4.846529185145831,4.846529185145831,0.0,0.1711731287322867,0.0,0.1711731287322867,0.1711731287322867,0.0,0.13044539087296267,0.0,0.13044539087296267,0.13044539087296267,0.0,732.5953862808583,0.0,732.5953862808583,732.5953862808583,0.0,23.4571950582332,0.0,23.4571950582332,23.4571950582332,15.9994,1.5304291330000002,1.42,3.44,317.5,53.0,0.0,0.0,0.0,0.0,0.0,0.0,129.83266666666668,13.126118737166667,0.913,1.2875,3027.5000000000005,69.91666666666667,48.23833075221406,4.846529185145831,0.1711731287322867,0.13044539087296267,732.5953862808583,23.4571950582332
