composition,target,S.r.a-S.r.b,M.e.ao,S.m.a,M.e/S.r,S.r*S.v,S.p*S.x,S.x.ca-S.x.ai,"sqrt(M.r,S.r)"
La2(Hf1/2Zr1/2)2O7,2.29,0.022569877,0.282608696,0.01,0.039736681,0.74622019,1,0.169248831,0.96223162
La2(Hf1/2Zr1/2)2O7,2.35,0.022569877,0.282608696,0.01,0.039736681,0.74622019,1,0.169248831,0.96223162
La2(Hf1/2Zr1/2)2O7,2.23,0.022569877,0.282608696,0.01,0.039736681,0.74622019,1,0.169248831,0.96223162
Sm2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,1.73,0.664982548,0.565217391,0.01,0.059601062,0.766844505,0.49340786,0.862467666,0.551324899
Sm2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,1.78,0.664982548,0.565217391,0.01,0.059601062,0.766844505,0.49340786,0.862467666,0.551324899
Sm2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,1.68,0.664982548,0.565217391,0.01,0.059601062,0.766844505,0.49340786,0.862467666,0.551324899
Gd2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,1.58,0.664982548,0.673913043,0.01,0.102216727,0.733331774,0.492927335,0.838284008,0.461201299
Gd2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,1.63,0.664982548,0.673913043,0.01,0.102216727,0.733331774,0.492927335,0.838284008,0.461201299
Gd2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,1.53,0.664982548,0.673913043,0.01,0.102216727,0.733331774,0.492927335,0.838284008,0.461201299
(Sm1/2Gd1/2)2(Ti1/3Hf1/3Zr1/3)2O7,1.47,0.655684009,0.619565217,0.060413995,0.145718293,0.748930985,0.534967069,0.281781678,0.459581614
(Sm1/2Gd1/2)2(Ti1/3Hf1/3Zr1/3)2O7,1.51,0.655684009,0.619565217,0.060413995,0.145718293,0.748930985,0.534967069,0.281781678,0.459581614
(Sm1/2Gd1/2)2(Ti1/3Hf1/3Zr1/3)2O7,1.43,0.655684009,0.619565217,0.060413995,0.145718293,0.748930985,0.534967069,0.281781678,0.459581614
(Eu1/2Gd1/2)2(Ti1/3Hf1/3Zr1/3)2O7,1.52,0.702371429,0.27173913,0.046349547,0.063986783,0.72326081,0.536844601,0.258246811,0.436028897
(Eu1/2Gd1/2)2(Ti1/3Hf1/3Zr1/3)2O7,1.57,0.702371429,0.27173913,0.046349547,0.063986783,0.72326081,0.536844601,0.258246811,0.436028897
(Eu1/2Gd1/2)2(Ti1/3Hf1/3Zr1/3)2O7,1.47,0.702371429,0.27173913,0.046349547,0.063986783,0.72326081,0.536844601,0.258246811,0.436028897
(La1/2Pr1/2)2(Sn1/3Hf1/3Zr1/3)2O7,2.24,0.01917828,0.282608696,0.017555833,0.14714779,0.427031097,0.518130945,1,0.815024977
(La1/2Pr1/2)2(Sn1/3Hf1/3Zr1/3)2O7,2.31,0.01917828,0.282608696,0.017555833,0.14714779,0.427031097,0.518130945,1,0.815024977
(La1/2Pr1/2)2(Sn1/3Hf1/3Zr1/3)2O7,2.17,0.01917828,0.282608696,0.017555833,0.14714779,0.427031097,0.518130945,1,0.815024977
(Eu1/2Gd1/2)2(Sn1/3Hf1/3Zr1/3)2O7,2.24,0.029552813,0.27173913,0.046349547,0.234532806,0.384037351,0.513987886,0.898415146,0.517529331
(Eu1/2Gd1/2)2(Sn1/3Hf1/3Zr1/3)2O7,2.31,0.029552813,0.27173913,0.046349547,0.234532806,0.384037351,0.513987886,0.898415146,0.517529331
(Eu1/2Gd1/2)2(Sn1/3Hf1/3Zr1/3)2O7,2.17,0.029552813,0.27173913,0.046349547,0.234532806,0.384037351,0.513987886,0.898415146,0.517529331
(La1/3Pr1/3Nd1/3)2(Hf1/2Zr1/2)2O7,2.16,0.103035464,0.311594203,0.038600777,0.407537052,0.330981501,0.537776757,0.142261636,0.739125456
(La1/3Pr1/3Nd1/3)2(Hf1/2Zr1/2)2O7,2.22,0.103035464,0.311594203,0.038600777,0.407537052,0.330981501,0.537776757,0.142261636,0.739125456
(La1/3Pr1/3Nd1/3)2(Hf1/2Zr1/2)2O7,2.1,0.103035464,0.311594203,0.038600777,0.407537052,0.330981501,0.537776757,0.142261636,0.739125456
(Sm1/3Eu1/3Gd1/3)2(Hf1/2Zr1/2)2O7,1.97,0.026983317,0.369565217,0.051622303,0.489994401,0.314550367,0.540734009,0.013837104,0.513760166
(Sm1/3Eu1/3Gd1/3)2(Hf1/2Zr1/2)2O7,2.03,0.026983317,0.369565217,0.051622303,0.489994401,0.314550367,0.540734009,0.013837104,0.513760166
(Sm1/3Eu1/3Gd1/3)2(Hf1/2Zr1/2)2O7,1.91,0.026983317,0.369565217,0.051622303,0.489994401,0.314550367,0.540734009,0.013837104,0.513760166
(Sm1/3Eu1/3Gd1/3)2(Sn1/3Hf1/3Zr1/3)2O7,2.21,0.01,0.369565217,0.051622303,0.397674437,0.26721478,0.386532989,0.853107445,0.497431495
