Element,m,p,r,x,v,e
O,15.9994,1.530429133,1.42,3.44,317.5,53
Sc,44.955912,4.976852873,0.8,1.36,2545,74
Ce,140.116,11.24569987,1.055,1.12,2100,34
Y,88.90585,7.426312274,1.019,1.22,3300,64
La,138.90547,10.30207017,1.16,1.1,2475,37
Ti,47.867,7.470571563,0.61,1.54,4140,116
Zr,91.224,10.80488992,0.84,1.33,3800,68
Si,28.0855,3.867177453,0.4,1.9,2200,47
Pr,140.90765,11.24942918,1.126,1.13,2280,37
Nd,144.242,11.63307794,1.109,1.14,2330,41
Pm,145,11.90231304,1.126,1.13,2545,46
Sm,150.36,12.49672123,1.079,1.17,2130,50
Tb,158.92535,13.67398554,1.04,1.1,2620,56
Dy,162.5,14.19483986,1.027,1.22,2710,61
Ho,164.93032,14.61470871,1.015,1.23,2760,65
Er,167.259,15.0458611,1.004,1.24,2830,70
Gd,157.25,13.12190311,1.053,1.2,2680,55
Tm,168.93421,14.68735144,0.994,1.25,2545,74
Yb,173.04,11.56789036,0.985,1.1,1590,24
Lu,174.967,16.34118842,0.977,1.27,2545,69
Hf,178.49,22.05331443,0.83,1.3,3010,78
Eu,151.964,8.710668178,1.066,1.2,2545,18
Sn,118.71,12.10111727,0.81,1.96,2500,50
Nb,92.90638,14.24545518,0.74,1.6,3480,105
